ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,County,2017-06-09 04:08:00,Con hold,Con,Lab,82546,58783,122,14656,32313,17657,5660,1296,1237,0,0,0,0,0,0,0,620,0
S14000006,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,Scotland,County,2017-06-09 03:08:00,Con gain from SNP,Con,SNP,71241,46222,74,2774,18550,11024,872,0,0,15776,0,0,0,0,0,0,0,0
E14000539,E12000008,Banbury,Oxfordshire,South East,England,County,2017-06-09 04:13:00,Con hold,Con,Lab,83824,61562,115,12399,33388,20989,3452,1581,1225,0,0,0,0,0,0,0,927,0
S14000007,S92000003,Banff and Buchan,Scotland,Scotland,Scotland,County,2017-06-09 04:38:00,Con gain from SNP,Con,SNP,67601,41643,46,3693,19976,3936,1448,0,0,16283,0,0,0,0,0,0,0,0
E14000540,E12000007,Barking,London,London,England,Borough,2017-06-09 03:31:00,Lab hold,Lab,Con,77022,47679,103,21608,10711,32319,599,3031,724,0,0,0,0,0,0,0,295,0
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,2017-06-09 02:34:00,Lab hold,Lab,Con,64204,39087,66,15546,9436,24982,549,3339,570,0,0,0,0,0,0,0,211,0
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,County,2017-06-09 02:11:00,Lab hold,Lab,Con,69214,40776,91,13283,10997,24280,750,3247,0,0,0,0,0,0,0,0,1502,0
E14000543,E12000002,Barrow and Furness,Cumbria,North West,England,County,2017-06-09 04:42:00,Lab hold,Lab,Con,69474,47590,60,209,22383,22592,1278,962,375,0,0,0,0,0,0,0,0,0
E14000544,E12000006,Basildon and Billericay,Essex,East,England,Borough,2017-06-09 00:43:00,Con hold,Con,Lab,69149,44918,121,13400,27381,13981,1548,2008,0,0,0,0,0,0,0,0,0,0
E14000545,E12000008,Basingstoke,Hampshire,South East,England,Borough,2017-06-09 05:49:00,Con hold,Con,Lab,81875,55960,138,9466,29510,20044,3406,1681,1106,0,0,0,0,0,0,0,213,0
E14000546,E12000004,Bassetlaw,Nottinghamshire,East Midlands,England,County,2017-06-09 03:52:00,Lab hold,Lab,Con,78540,52250,127,4852,22615,27467,1154,0,0,0,0,0,0,0,0,0,1014,0
E14000547,E12000009,Bath,Avon,South West,England,Borough,2017-06-09 03:15:00,LD gain from Con,LD,Con,66778,49583,112,5694,17742,7279,23436,0,1126,0,0,0,0,0,0,0,0,0
E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,2017-06-09 04:00:00,Lab hold,Lab,Con,80161,53780,128,8961,20883,29844,1224,0,695,0,0,0,0,0,0,0,1134,0
E14000549,E12000007,Battersea,London,London,England,Borough,2017-06-09 02:02:00,Lab gain from Con,Lab,Con,77574,55058,112,2416,22876,25292,4401,357,866,0,0,0,0,0,0,0,1266,0
E14000550,E12000008,Beaconsfield,Buckinghamshire,South East,England,County,2017-06-09 03:03:00,Con hold,Con,Lab,77524,56028,109,24543,36559,12016,4448,1609,1396,0,0,0,0,0,0,0,0,0
E14000551,E12000007,Beckenham,London,London,England,Borough,2017-06-09 04:31:00,Con hold,Con,Lab,67925,51630,182,15087,30632,15545,4073,0,1380,0,0,0,0,0,0,0,0,0
E14000552,E12000006,Bedford,Bedfordshire,East,England,Borough,2017-06-09 03:14:00,Lab gain from Con,Lab,Con,71829,48480,176,789,21923,22712,2837,0,1008,0,0,0,0,0,0,0,0,0
N06000001,N92000002,Belfast East,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2017-06-09 02:53:00,DUP hold,DUP,Alliance,63495,42890,93,8474,446,0,0,0,561,0,0,23917,894,167,1408,15443,54,0
N06000002,N92000002,Belfast North,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2017-06-09 03:09:00,DUP hold,DUP,SF,68249,45936,158,2081,0,0,0,0,644,0,0,21240,19159,2058,0,2475,360,0
N06000003,N92000002,Belfast South,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2017-06-09 03:20:00,DUP gain from SDLP,DUP,SDLP,66105,43705,130,1996,246,0,0,0,2241,0,0,13299,7143,11303,1527,7946,0,0
N06000004,N92000002,Belfast West,Northern Ireland,Northern Ireland,Northern Ireland,Borough,2017-06-09 02:18:00,SF hold,SF,DUP,62423,40633,190,21652,0,0,0,0,0,0,0,5455,27107,2860,0,731,4480,0
E14000553,E12000007,Bermondsey and Old Southwark,London,London,England,Borough,2017-06-09 04:46:00,Lab hold,Lab,LD,87282,58521,148,12972,7581,31161,18189,838,639,0,0,0,0,0,0,0,113,0
S14000008,S92000003,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,Scotland,County,2017-06-09 03:59:00,Con gain from SNP,Con,SNP,73191,52367,96,11060,28213,4519,2482,0,0,17153,0,0,0,0,0,0,0,0
E14000554,E12000001,Berwick-Upon-Tweed,Northumberland,North East,England,County,2017-06-09 06:12:00,Con hold,Con,Lab,58807,42212,79,11781,22145,10364,8916,0,787,0,0,0,0,0,0,0,0,0
E14000555,E12000007,Bethnal Green and Bow,London,London,England,Borough,2017-06-09 04:52:00,Lab hold,Lab,Con,86075,59825,275,35393,7576,42969,2982,894,1516,0,0,0,0,0,0,0,3888,0
E14000556,E12000003,Beverley and Holderness,Humberside,Yorkshire and The Humber,England,County,2017-06-09 03:43:00,Con hold,Con,Lab,80657,55638,184,14042,32499,18457,2808,0,716,0,0,0,0,0,0,0,1158,0
E14000557,E12000008,Bexhill and Battle,East Sussex,South East,England,County,2017-06-09 03:57:00,Con hold,Con,Lab,81331,59472,102,22165,36854,14689,4485,2006,1438,0,0,0,0,0,0,0,0,0
E14000558,E12000007,Bexleyheath and Crayford,London,London,England,Borough,2017-06-09 03:41:00,Con hold,Con,Lab,65315,45189,92,9073,25113,16040,1201,1944,601,0,0,0,0,0,0,0,290,0
E14000559,E12000002,Birkenhead,Merseyside,North West,England,Borough,2017-06-09 01:25:00,Lab hold,Lab,Con,64484,43663,108,25514,8044,33558,1118,0,943,0,0,0,0,0,0,0,0,0
E14000560,E12000005,"Birmingham, Edgbaston",West Midlands,West Midlands,England,Borough,2017-06-09 02:50:00,Lab hold,Lab,Con,68091,43612,108,6917,17207,24124,1564,0,562,0,0,0,0,0,0,0,155,0
E14000561,E12000005,"Birmingham, Erdington",West Midlands,West Midlands,England,Borough,2017-06-09 02:56:00,Lab hold,Lab,Con,65067,37217,112,7285,14286,21571,750,0,610,0,0,0,0,0,0,0,0,0
E14000562,E12000005,"Birmingham, Hall Green",West Midlands,West Midlands,England,Borough,2017-06-09 03:41:00,Lab hold,Lab,Con,78271,54310,187,33944,8199,42143,3137,0,831,0,0,0,0,0,0,0,0,0
E14000563,E12000005,"Birmingham, Hodge Hill",West Midlands,West Midlands,England,Borough,2017-06-09 03:35:00,Lab hold,Lab,Con,75698,46394,159,31026,6580,37606,805,1016,387,0,0,0,0,0,0,0,0,0
E14000564,E12000005,"Birmingham, Ladywood",West Midlands,West Midlands,England,Borough,2017-06-09 03:05:00,Lab hold,Lab,Con,70023,41307,155,28714,5452,34166,1156,0,533,0,0,0,0,0,0,0,0,0
E14000565,E12000005,"Birmingham, Northfield",West Midlands,West Midlands,England,Borough,2017-06-09 02:49:00,Lab hold,Lab,Con,72322,44348,151,4667,18929,23596,959,0,864,0,0,0,0,0,0,0,0,0
E14000566,E12000005,"Birmingham, Perry Barr",West Midlands,West Midlands,England,Borough,2017-06-09 03:57:00,Lab hold,Lab,Con,70106,44197,164,18383,11726,30109,1080,0,591,0,0,0,0,0,0,0,691,0
E14000567,E12000005,"Birmingham, Selly Oak",West Midlands,West Midlands,England,Borough,2017-06-09 03:20:00,Lab hold,Lab,Con,74370,48985,138,15207,15629,30836,1644,0,876,0,0,0,0,0,0,0,0,0
E14000568,E12000005,"Birmingham, Yardley",West Midlands,West Midlands,England,Borough,2017-06-09 02:50:00,Lab hold,Lab,Con,72581,44502,103,16574,8824,25398,7984,1916,280,0,0,0,0,0,0,0,100,0
E14000569,E12000001,Bishop Auckland,Durham,North East,England,County,2017-06-09 02:42:00,Lab hold,Lab,Con,67661,43281,78,502,20306,20808,1176,0,0,0,0,0,0,0,0,0,991,0
E14000570,E12000002,Blackburn,Lancashire,North West,England,Borough,2017-06-09 02:20:00,Lab hold,Lab,Con,70664,47515,187,20368,12780,33148,709,0,0,0,0,0,0,0,0,0,878,0
E14000571,E12000002,Blackley and Broughton,Greater Manchester,North West,England,Borough,2017-06-09 02:52:00,Lab hold,Lab,Con,71648,40113,101,19601,8657,28258,737,1825,462,0,0,0,0,0,0,0,174,0
E14000572,E12000002,Blackpool North and Cleveleys,Lancashire,North West,England,Borough,2017-06-09 02:31:00,Con hold,Con,Lab,63967,41007,59,2023,20255,18232,747,1392,381,0,0,0,0,0,0,0,0,0
E14000573,E12000002,Blackpool South,Lancashire,North West,England,Borough,2017-06-09 02:50:00,Lab hold,Lab,Con,58470,34953,44,2523,15058,17581,634,1339,341,0,0,0,0,0,0,0,0,0
W07000072,W92000004,Blaenau Gwent,Gwent and Mid Glamorgan,Wales,Wales,County,2017-06-09 02:01:00,Lab hold,Lab,PC,51227,32384,35,11907,4783,18787,295,973,0,0,6880,0,0,0,0,0,666,0
E14000574,E12000001,Blaydon,Tyne and Wear,North East,England,Borough,2017-06-09 02:16:00,Lab hold,Lab,Con,68459,48084,64,13477,13502,26979,4366,2459,583,0,0,0,0,0,0,0,195,0
E14000575,E12000001,Blyth Valley,Northumberland,North East,England,Borough,2017-06-09 04:21:00,Lab hold,Lab,Con,63415,42490,70,7915,15855,23770,1947,0,918,0,0,0,0,0,0,0,0,0
E14000576,E12000008,Bognor Regis and Littlehampton,West Sussex,South East,England,County,2017-06-09 03:25:00,Con hold,Con,Lab,75827,51352,98,17494,30276,12782,3352,1861,993,0,0,0,0,0,0,0,2088,0
E14000577,E12000004,Bolsover,Derbyshire,East Midlands,England,County,2017-06-09 04:19:00,Lab hold,Lab,Con,73429,46519,107,5288,18865,24153,1372,2129,0,0,0,0,0,0,0,0,0,0
E14000578,E12000002,Bolton North East,Greater Manchester,North West,England,Borough,2017-06-09 02:41:00,Lab hold,Lab,Con,67233,45183,90,3797,19073,22870,1316,1567,357,0,0,0,0,0,0,0,0,0
E14000579,E12000002,Bolton South East,Greater Manchester,North West,England,Borough,2017-06-09 03:09:00,Lab hold,Lab,Con,68886,42323,97,13126,12550,25676,781,2779,537,0,0,0,0,0,0,0,0,0
E14000580,E12000002,Bolton West,Greater Manchester,North West,England,County,2017-06-09 03:24:00,Con hold,Con,Lab,72797,51054,81,936,24459,23523,1485,1587,0,0,0,0,0,0,0,0,0,0
E14000581,E12000002,Bootle,Merseyside,North West,England,Borough,2017-06-09 02:21:00,Lab hold,Lab,Con,72872,50288,163,36200,6059,42259,837,0,709,0,0,0,0,0,0,0,424,0
E14000582,E12000004,Boston and Skegness,Lincolnshire,East Midlands,England,County,2017-06-09 03:30:00,Con hold,Con,Lab,68402,42879,92,16572,27271,10699,771,3308,547,0,0,0,0,0,0,0,283,0
E14000583,E12000004,Bosworth,Leicestershire,East Midlands,England,County,2017-06-09 03:02:00,Con hold,Con,Lab,81661,56168,133,18351,31864,13513,9744,0,1047,0,0,0,0,0,0,0,0,0
E14000584,E12000009,Bournemouth East,Dorset,South West,England,Borough,2017-06-09 03:38:00,Con hold,Con,Lab,74591,48618,115,7937,25221,17284,3168,1405,1236,0,0,0,0,0,0,0,304,0
E14000585,E12000009,Bournemouth West,Dorset,South West,England,Borough,2017-06-09 03:32:00,Con hold,Con,Lab,73195,44507,147,7711,23812,16101,2929,0,1247,0,0,0,0,0,0,0,418,0
E14000586,E12000008,Bracknell,Berkshire,South East,England,County,2017-06-09 02:02:00,Con hold,Con,Lab,79199,55892,146,16016,32882,16866,4186,1521,0,0,0,0,0,0,0,0,437,0
E14000587,E12000003,Bradford East,West Yorkshire,Yorkshire and The Humber,England,Borough,2017-06-09 04:17:00,Lab hold,Lab,Con,70389,45622,78,20540,9291,29831,843,1372,289,0,0,0,0,0,0,0,3996,0
E14000588,E12000003,Bradford South,West Yorkshire,Yorkshire and The Humber,England,Borough,2017-06-09 03:17:00,Lab hold,Lab,Con,67752,41049,62,6700,15664,22364,516,1758,370,0,0,0,0,0,0,0,377,0
E14000589,E12000003,Bradford West,West Yorkshire,Yorkshire and The Humber,England,Borough,2017-06-09 04:00:00,Lab hold,Lab,Con,67568,45528,221,21902,7542,29444,712,885,481,0,0,0,0,0,0,0,6464,0
E14000590,E12000006,Braintree,Essex,East,England,County,2017-06-09 03:55:00,Con hold,Con,Lab,75316,52326,74,18422,32873,14451,2251,1835,916,0,0,0,0,0,0,0,0,0
W07000068,W92000004,Brecon and Radnorshire,Powys,Wales,Wales,County,2017-06-09 02:37:00,Con hold,Con,LD,56010,41334,63,8038,20081,7335,12043,576,0,0,1299,0,0,0,0,0,0,0
E14000591,E12000007,Brent Central,London,London,England,Borough,2017-06-09 03:49:00,Lab hold,Lab,Con,80499,52296,199,27997,10211,38208,2519,556,802,0,0,0,0,0,0,0,0,0
E14000593,E12000007,Brentford and Isleworth,London,London,England,Borough,2017-06-09 03:32:00,Lab hold,Lab,Con,85164,61629,156,12182,23182,35364,3083,0,0,0,0,0,0,0,0,0,0,0
E14000592,E12000007,Brent North,London,London,England,Borough,2017-06-09 04:03:00,Lab hold,Lab,Con,82567,56444,203,17061,18435,35496,1614,0,660,0,0,0,0,0,0,0,239,0
E14000594,E12000006,Brentwood and Ongar,Essex,East,England,County,2017-06-09 03:27:00,Con hold,Con,Lab,75067,52910,107,24002,34811,10809,4426,1845,915,0,0,0,0,0,0,0,104,0
W07000073,W92000004,Bridgend,Gwent and Mid Glamorgan,Wales,Wales,County,2017-06-09 02:24:00,Lab hold,Lab,Con,62185,43255,55,4700,17213,21913,919,781,0,0,1783,0,0,0,0,0,646,0
E14000595,E12000009,Bridgwater and West Somerset,Somerset,South West,England,County,2017-06-09 04:33:00,Con hold,Con,Lab,89294,58267,131,15448,32111,16663,6332,2102,1059,0,0,0,0,0,0,0,0,0
E14000596,E12000003,Brigg and Goole,Humberside,Yorkshire and The Humber,England,County,2017-06-09 04:13:00,Con hold,Con,Lab,66069,45057,60,12363,27219,14856,836,1596,550,0,0,0,0,0,0,0,0,0
E14000597,E12000008,"Brighton, Kemptown",East Sussex,South East,England,Borough,2017-06-09 04:42:00,Lab gain from Con,Lab,Con,67893,49207,154,9868,18835,28703,1457,0,0,0,0,0,0,0,0,0,212,0
E14000598,E12000008,"Brighton, Pavilion",East Sussex,South East,England,Borough,2017-06-09 06:04:00,Green hold,Green,Lab,75486,57687,154,14699,11082,15450,0,630,30149,0,0,0,0,0,0,0,376,0
E14000599,E12000009,Bristol East,Avon,South West,England,Borough,2017-06-09 02:41:00,Lab hold,Lab,Con,72415,50799,133,13394,17453,30847,1389,0,1110,0,0,0,0,0,0,0,0,0
E14000600,E12000009,Bristol North West,Avon,South West,England,Borough,2017-06-09 02:55:00,Lab gain from Con,Lab,Con,75434,54096,132,4761,22639,27400,2814,0,1243,0,0,0,0,0,0,0,0,0
E14000601,E12000009,Bristol South,Avon,South West,England,Borough,2017-06-09 02:31:00,Lab hold,Lab,Con,83012,54382,112,15987,16679,32666,1821,1672,1428,0,0,0,0,0,0,0,116,0
E14000602,E12000009,Bristol West,Avon,South West,England,Borough,2017-06-09 02:56:00,Lab hold,Lab,Con,93003,71608,174,37336,9877,47213,5201,0,9216,0,0,0,0,0,0,0,101,0
E14000603,E12000006,Broadland,Norfolk,East,England,County,2017-06-09 04:48:00,Con hold,Con,Lab,77334,55971,104,15816,32406,16590,4449,1594,932,0,0,0,0,0,0,0,0,0
E14000604,E12000007,Bromley and Chislehurst,London,London,England,Borough,2017-06-09 04:07:00,Con hold,Con,Lab,65117,46662,119,9590,25175,15585,3369,1383,1150,0,0,0,0,0,0,0,0,0
E14000605,E12000005,Bromsgrove,Hereford and Worcester,West Midlands,England,County,2017-06-09 02:36:00,Con hold,Con,Lab,73571,54040,206,16573,33493,16920,2488,0,1139,0,0,0,0,0,0,0,0,0
E14000606,E12000006,Broxbourne,Hertfordshire,East,England,Borough,2017-06-09 00:36:00,Con hold,Con,Lab,73502,47485,102,15792,29515,13723,1481,1918,848,0,0,0,0,0,0,0,0,0
E14000607,E12000004,Broxtowe,Nottinghamshire,East Midlands,England,County,2017-06-09 04:18:00,Con hold,Con,Lab,74013,55508,120,863,25983,25120,2247,1477,681,0,0,0,0,0,0,0,0,0
E14000608,E12000008,Buckingham,Buckinghamshire,South East,England,County,2017-06-09 04:52:00,Spk hold,Spk,Green,79615,52679,1967,25725,0,0,0,4168,8574,0,0,0,0,0,0,0,39937,34299
E14000609,E12000002,Burnley,Lancashire,North West,England,Borough,2017-06-09 01:49:00,Lab hold,Lab,Con,64709,40290,63,6353,12479,18832,6046,2472,461,0,0,0,0,0,0,0,0,0
E14000610,E12000005,Burton,Staffordshire,West Midlands,England,County,2017-06-09 02:08:00,Con hold,Con,Lab,73954,49911,143,10047,28936,18889,1262,0,824,0,0,0,0,0,0,0,0,0
E14000611,E12000002,Bury North,Greater Manchester,North West,England,Borough,2017-06-09 02:11:00,Lab gain from Con,Lab,Con,67580,47903,156,4375,21308,25683,912,0,0,0,0,0,0,0,0,0,0,0
E14000612,E12000002,Bury South,Greater Manchester,North West,England,Borough,2017-06-09 02:33:00,Lab hold,Lab,Con,73715,50990,123,5965,21200,27165,1065,1316,0,0,0,0,0,0,0,0,244,0
E14000613,E12000006,Bury St Edmunds,Suffolk,East,England,County,2017-06-09 03:54:00,Con hold,Con,Lab,86071,62160,152,18441,36794,18353,3565,0,2596,0,0,0,0,0,0,0,852,0
W07000076,W92000004,Caerphilly,Gwent and Mid Glamorgan,Wales,Wales,County,2017-06-09 02:03:00,Lab hold,Lab,Con,64381,41297,83,12078,10413,22491,725,1259,447,0,5962,0,0,0,0,0,0,0
S14000009,S92000003,"Caithness, Sutherland and Easter Ross",Scotland,Scotland,Scotland,County,2017-06-09 03:37:00,LD gain from SNP,LD,SNP,46868,30901,35,2044,6990,3833,11061,0,0,9017,0,0,0,0,0,0,0,0
E14000614,E12000003,Calder Valley,West Yorkshire,Yorkshire and The Humber,England,County,2017-06-09 04:42:00,Con hold,Con,Lab,79045,58054,115,609,26790,26181,1952,1466,631,0,0,0,0,0,0,0,1034,0
E14000615,E12000007,Camberwell and Peckham,London,London,England,Borough,2017-06-09 04:32:00,Lab hold,Lab,Con,85613,57412,236,37316,7349,44665,3413,0,1627,0,0,0,0,0,0,0,358,0
E14000616,E12000009,Camborne and Redruth,Cornwall,South West,England,County,2017-06-09 04:48:00,Con hold,Con,Lab,68419,48456,93,1577,23001,21424,2979,0,1052,0,0,0,0,0,0,0,0,0
E14000617,E12000006,Cambridge,Cambridgeshire,East,England,Borough,2017-06-09 03:01:00,Lab hold,Lab,LD,78544,55934,135,12661,9133,29032,16371,0,1265,0,0,0,0,0,0,0,133,0
E14000618,E12000005,Cannock Chase,Staffordshire,West Midlands,England,County,2017-06-09 02:03:00,Con hold,Con,Lab,74540,47872,78,8391,26318,17927,794,2018,815,0,0,0,0,0,0,0,0,0
E14000619,E12000008,Canterbury,Kent,South East,England,County,2017-06-09 03:29:00,Lab gain from Con,Lab,Con,78182,56800,178,187,25385,25572,4561,0,1282,0,0,0,0,0,0,0,0,0
W07000050,W92000004,Cardiff Central,South Glamorgan,Wales,Wales,Borough,2017-06-09 02:35:00,Lab hold,Lab,Con,59288,40367,80,17196,7997,25193,5415,343,420,0,999,0,0,0,0,0,0,0
W07000051,W92000004,Cardiff North,South Glamorgan,Wales,Wales,Borough,2017-06-09 03:09:00,Lab gain from Con,Lab,Con,67221,52022,98,4174,21907,26081,1714,582,0,0,1738,0,0,0,0,0,0,0
W07000080,W92000004,Cardiff South and Penarth,South Glamorgan,Wales,Wales,Borough,2017-06-09 03:23:00,Lab hold,Lab,Con,76499,50736,107,14864,15318,30182,1430,942,532,0,2162,0,0,0,0,0,170,0
W07000079,W92000004,Cardiff West,South Glamorgan,Wales,Wales,Borough,2017-06-09 03:32:00,Lab hold,Lab,Con,66775,46629,89,12551,13874,26425,1214,698,0,0,4418,0,0,0,0,0,0,0
E14000620,E12000002,Carlisle,Cumbria,North West,England,County,2017-06-09 01:29:00,Con hold,Con,Lab,62294,43056,88,2599,21472,18873,1256,1455,0,0,0,0,0,0,0,0,0,0
W07000067,W92000004,Carmarthen East and Dinefwr,Dyfed,Wales,Wales,County,2017-06-09 01:57:00,PC hold,PC,Lab,55976,41029,45,3908,10778,12219,920,985,0,0,16127,0,0,0,0,0,0,0
W07000066,W92000004,Carmarthen West and South Pembrokeshire,Dyfed,Wales,Wales,County,2017-06-09 03:36:00,Con hold,Con,Lab,58565,42226,65,3110,19771,16661,956,905,0,0,3933,0,0,0,0,0,0,0
E14000621,E12000007,Carshalton and Wallington,London,London,England,Borough,2017-06-09 03:35:00,LD hold,LD,Con,70849,50753,97,1369,19450,9360,20819,0,501,0,0,0,0,0,0,0,623,0
E14000622,E12000006,Castle Point,Essex,East,England,Borough,2017-06-09 01:51:00,Con hold,Con,Lab,69470,44710,87,18872,30076,11204,1049,2381,0,0,0,0,0,0,0,0,0,0
S14000010,S92000003,Central Ayrshire,Scotland,Scotland,Scotland,County,2017-06-09 04:07:00,SNP hold,SNP,Con,68999,45087,75,1267,15504,11762,1050,0,0,16771,0,0,0,0,0,0,0,0
E14000623,E12000009,Central Devon,Devon,South West,England,County,2017-06-09 05:18:00,Con hold,Con,Lab,74370,57844,84,15680,31278,15598,6770,1326,1531,0,0,0,0,0,0,0,1341,0
E14000624,E12000006,Central Suffolk and North Ipswich,Suffolk,East,England,County,2017-06-09 03:56:00,Con hold,Con,Lab,78116,56524,113,17185,33992,16807,2431,1635,1659,0,0,0,0,0,0,0,0,0
W07000064,W92000004,Ceredigion,Dyfed,Wales,Wales,County,2017-06-09 06:20:00,PC gain from LD,PC,LD,54262,39767,52,104,7307,8017,11519,602,542,0,11623,0,0,0,0,0,157,0
E14000625,E12000004,Charnwood,Leicestershire,East Midlands,England,County,2017-06-09 04:57:00,Con hold,Con,Lab,78071,55176,115,16341,33318,16977,2052,1471,1036,0,0,0,0,0,0,0,322,0
E14000626,E12000008,Chatham and Aylesford,Kent,South East,England,County,2017-06-09 04:21:00,Con hold,Con,Lab,70419,44890,73,10458,25587,15129,1116,2225,573,0,0,0,0,0,0,0,260,0
E14000627,E12000002,Cheadle,Greater Manchester,North West,England,Borough,2017-06-09 04:43:00,Con hold,Con,LD,73406,54572,117,4507,24331,10417,19824,0,0,0,0,0,0,0,0,0,0,0
E14000628,E12000006,Chelmsford,Essex,East,England,Borough,2017-06-09 01:31:00,Con hold,Con,Lab,81032,56860,103,13572,30525,16953,6916,1645,821,0,0,0,0,0,0,0,0,0
E14000629,E12000007,Chelsea and Fulham,London,London,England,Borough,2017-06-09 03:52:00,Con hold,Con,Lab,63728,42128,126,8188,22179,13991,4627,524,807,0,0,0,0,0,0,0,0,0
E14000630,E12000009,Cheltenham,Gloucestershire,South West,England,Borough,2017-06-09 04:20:00,Con hold,Con,LD,78878,57012,107,2569,26615,5408,24046,0,943,0,0,0,0,0,0,0,0,0
E14000631,E12000008,Chesham and Amersham,Buckinghamshire,South East,England,County,2017-06-09 03:00:00,Con hold,Con,Lab,71654,55252,136,22140,33514,11374,7179,1525,1660,0,0,0,0,0,0,0,0,0
E14000632,E12000004,Chesterfield,Derbyshire,East Midlands,England,Borough,2017-06-09 03:44:00,Lab hold,Lab,Con,72069,47927,74,9605,16661,26266,2612,1611,777,0,0,0,0,0,0,0,0,0
